ΔΕΥΑ Αλεξανδρούπολης,deyaalex
ΔΕΥΑ Άργους,deyaarg
ΔΕΥΑ Έδεσσας,deyaedessas
ΔΕΥΑ Κρανίδι,deyakranidi
ΔΕΥΑ Καβάλας,deya_kavalas
ΔΕΥΑ Καστορίας,deyakastorias
ΔΕΥΑ Χορτιάτη,deyahortiati
ΔΕΥΑ Λάρισας,dimotikiepihirisiydrefsisapohetefsislarisas
ΔΕΥΑ Ξάνθης,deyaxanthis
ΔΕΥΑ Χαλκηδόνος,deyax
ΔΕΥΑ Κυπαρισσίας,deyakyparissias
ΔΕΥΑ Διδυμότειχου,deyadidymoteichoy
ΔΕΥΑ Αστυπάλαιας,deyaakastypalaias
ΔΕΥΑ Δράμας,DEYAD
ΔΕΥΑ Ερέτριας,deya_eretrias
ΔΕΥΑ Θήρας,deyathiras
ΔΕΥΑ Καρδίτσας,deyakarditsas
ΔΕΥΑ Καλλικράτειας,deyakallikrateias
ΔΕΥΑ Πάρου,deyaparou
ΔΕΥΑ Φαρσάλων,deyafarsalon
ΔΕΥΑ Νάουσσας,deyan_naoussas
ΔΕΥΑ Αμφιλοχίας,deya_amfiloxias
ΔΕΥΑ Βόλου,deyamv
ΔΕΥΑ Σελίνου,deyaselinou
ΔΕΥΑ Πήλου,deya_pylou
ΔΕΥΑ Ηγουμενίτσας,deyahg
ΔΕΥΑ Αργοστολίου,deyaargostoli
ΔΕΥΑ Λιβαδειάς,deyalivadia
ΔΕΥΑ Ναυπλίου,deyan
ΔΕΥΑ Ρόδου,deyar
ΔΕΥΑ Κομοτηνής,deyakom
ΔΕΥΑ Μαντουδίου,deyamantoudioulimnisagannas
ΔΕΥΑ Αλεβιζίου,deyamaleviziou
ΔΕΥΑ Φλώρινας,deya_florinas
ΔΕΥΑ Μυλοπόταμου,deya_mylopotamou
ΔΕΥΑ Θήβας,deyath
ΔΕΥΑ Καρπενησσίου,deyak_karpenissi
ΔΕΥΑ Σκύδρας,deyaskydras
ΔΕΥΑ Χαλκίδας,deyaxalkidas
ΔΕΥΑ Ξυλόκαστρου,deyaxyl
ΔΕΥΑ Βέροιας,deyav
ΔΕΥΑ Κορίνθου,deyakor
ΔΕΥΑ Σητείας,deyasitias
ΔΕΥΑ Σύμης,deyasymis
ΔΕΥΑ Τύρναβου,deya_tyrnavou
ΔΕΥΑ Κερκίνης,deya_kerkini
ΔΕΥΑ Πήλου,deyapyl
ΔΕΥΑ Κατερίνης,deyakaterinis
ΔΕΥΑ Χίου,deyaxiou
ΔΕΥΑ Παλαμά,deyapalama
ΔΕΥΑ Σοφάδων,deyasofadon
ΔΕΥΑ Αιγιαλείας,deya_aigialias
ΔΕΥΑ Άρτας,deya_artas
ΔΕΥΑ Επίδαυρου,deyaep
ΔΕΥΑ Ορεστιάδας,deyaoorestiadas
ΔΕΥΑ Τρίπολης,DEYATRIP
ΔΕΥΑ Νέσσωνος,deya_nessonos
ΔΕΥΑ Αβδηρών,deyavdera
ΔΕΥΑ Αρχαίας Ολυμπίας,deyaaol
ΔΕΥΑ Θέρμης,deyak_thermis
ΔΕΥΑ Κιλέλερ,DEYAKileler
ΔΕΥΑ Σερρών,deyas
ΔΕΥΑ Μίνωα,deyamin
ΔΕΥΑ Νισήρου,deyanisyrou
ΔΕΥΑ Αλεξάνδρειας,deyaa_alexandrias
ΔΕΥΑ Κιλκίς,deya_kilkis
ΔΕΥΑ Μουζακίου,deyamouzakiou
ΔΕΥΑ Αλμωπίας,deyaalmopias
ΔΕΥΑ Βόρειου Άξονα Χανίων,deyaba
ΔΕΥΑ Πτολεμαίδας,deya_ptolemaidas
